,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
8323,Digital,OverDrive,AUDIOBOOK,2018,1,5,"On the Plus Side: A Perfect Fit Series, Book 2 (unabridged) (Unabridged)",,Alison Bliss,"Fiction, Humor (Fiction), Literature, Romance",Hachette Audio,2017
8326,Digital,OverDrive,AUDIOBOOK,2018,1,1,All Things Shining: Reading the Western Classics to Find Meaning in a Secular World (unabridged) (Unabridged),,Hubert Dreyfus,"Nonfiction, Philosophy",HighBridge Company,2012
8334,Digital,OverDrive,AUDIOBOOK,2018,1,2,Reinventing America's Schools: Creating a 21st Century Education System (unabridged) (Unabridged),,David Osborne,"Education, Nonfiction",HighBridge Company,2017
8338,Digital,OverDrive,AUDIOBOOK,2018,1,1,Jesus Always: Embracing Joy in His Presence (unabridged) (Unabridged),,Sarah Young,"Nonfiction, Religion & Spirituality",Thomas Nelson Inc.,2017
8342,Digital,OverDrive,AUDIOBOOK,2018,1,2,For Two Thousand Years (Unabridged),,Mihail Sebastian,"Fiction, Literature","Tantor Media, Inc",2017
8347,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Book of Emma Reyes: A Memoir (unabridged) (Unabridged),,Emma Reyes,"Biography & Autobiography, Literary Criticism, Nonfiction",Books on Tape,2017
8364,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Deeds of the Disturber: Amelia Peabody Series, Book 5 (unabridged) (Unabridged)",,Elizabeth Peters,"Fiction, Historical Fiction, Mystery","Blackstone Audio, Inc.",2005
8400,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Dark Room (Unabridged),,Jonathan Moore,"Fiction, Suspense, Thriller",HighBridge Company,2017
8420,Digital,OverDrive,AUDIOBOOK,2018,1,5,Odd Child Out: A Novel (unabridged) (Unabridged),,Gilly MacMillan,"Fiction, Literature, Mystery",HarperCollins Publishers Inc.,2017
8422,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Swans of Fifth Avenue: A Novel (unabridged) (Unabridged),,Melanie Benjamin,"Fiction, Historical Fiction, Literature",Books on Tape,2016
8424,Digital,OverDrive,AUDIOBOOK,2018,1,7,Caleb's Crossing: A Novel (unabridged) (Unabridged),,Geraldine Brooks,"Fiction, Historical Fiction","Blackstone Audio, Inc.",2011
8426,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Cat in the Hat and Other Dr. Seuss Favorites (Unabridged),,Dr. Seuss,"Beginning Reader, Juvenile Fiction",Books on Tape,2006
8445,Digital,OverDrive,AUDIOBOOK,2018,1,11,"The Lies of Locke Lamora: Gentleman Bastard Series, Book 1 (unabridged) (Unabridged)",,Scott Lynch,"Fantasy, Fiction","Tantor Media, Inc",2014
8450,Digital,OverDrive,AUDIOBOOK,2018,1,1,Trump: How to Get Rich (unabridged) (Unabridged),,Donald J. Trump,"Nonfiction, Self-Improvement",Simon & Schuster - All Library,2008
8456,Digital,OverDrive,AUDIOBOOK,2018,1,2,"A Christmas Grace: Christmas Story Series, Book 6 (unabridged) (Unabridged)",,Anne Perry,"Fiction, Historical Fiction, Mystery","Blackstone Audio, Inc.",2008
8458,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Culture Map: Breaking Through the Invisible Boundaries of Global Business (unabridged) (Unabridged),,Erin Meyer,"Business, Nonfiction",Gildan Media Corp,2014
8470,Digital,OverDrive,AUDIOBOOK,2018,1,1,Radiant Mind: Awakening Unconditioned Awareness (unabridged) (Unabridged),,Peter Fenner,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2008
8508,Digital,OverDrive,AUDIOBOOK,2018,1,7,"The Great Halifax Explosion: A World War I Story of Treachery, Tragedy, and Extraordinary Heroism (unabridged) (Unabridged)",,John U. Bacon,"History, Military, Nonfiction",HarperCollins Publishers Inc.,2017
8510,Digital,OverDrive,AUDIOBOOK,2018,1,2,Descendants: The Junior Novel (unabridged) (Unabridged),,Disney Press,"Fantasy, Juvenile Fiction","Blackstone Audio, Inc.",2015
8521,Digital,OverDrive,AUDIOBOOK,2018,1,6,"""V"" is for Vengeance: Kinsey Millhone Series, Book 22 (unabridged) (Unabridged)",,Sue Grafton,"Fiction, Mystery",Books on Tape,2011
8534,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Silent Fountain (Unabridged),,Victoria Fox,"Fiction, Literature, Romance",HarperCollins Publishers Inc.,2017
8574,Digital,OverDrive,AUDIOBOOK,2018,1,6,Alpha and Omega: A Companion Novella to <i>Cry Wolf</i> (unabridged) (Unabridged),,Patricia Briggs,"Fantasy, Fiction, Short Stories",Books on Tape,2014
8579,Digital,OverDrive,AUDIOBOOK,2018,1,3,"7th Heaven: Women's Murder Club Series, Book 7 (unabridged) (Unabridged)",,James Patterson,"Fiction, Thriller",Books on Tape,2008
8580,Digital,OverDrive,AUDIOBOOK,2018,1,1,Arena (Unabridged),,Holly Jennings,"Fantasy, Fiction, Romance, Science Fiction",Books on Tape,2016
8618,Digital,OverDrive,AUDIOBOOK,2018,1,1,Swimming Home: A Novel (unabridged) (Unabridged),,Mary-Rose MacColl,"Fiction, Historical Fiction, Literature",Books on Tape,2017
8625,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Tree: A Natural History of What Trees Are, How They Live, and Why They Matter (unabridged) (Unabridged)",,Colin Tudge,"Nature, Nonfiction, Science",Books on Tape,2016
8637,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Atlantic: Great Sea Battles, Heroic Discoveries, Titanic Storms, and a Vast Ocean of a Million Stories (unabridged) (Unabridged)",,Simon Winchester,"History, Nonfiction",Books on Tape,2010
8652,Digital,OverDrive,AUDIOBOOK,2018,1,2,"A Short, Sharp Shock (Unabridged)",,Kim Stanley Robinson,"Fiction, Science Fiction","Blackstone Audio, Inc.",2012
8663,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Crowdsourceress: Get Smart, Get Funded, and Kickstart Your Next Big Idea (unabridged) (Unabridged)",,Alex Daly,"Business, Computer Technology, Nonfiction",Hachette Audio,2017
8678,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Confidence Game: Why We Fall for It . . . Every Time (unabridged) (Unabridged),,Maria Konnikova,"Nonfiction, Psychology, Sociology",Books on Tape,2016
8682,Digital,OverDrive,AUDIOBOOK,2018,1,1,"In Harm's Way: Benjamin Pratt and the Keepers of the School Series, Book 4 (unabridged) (Unabridged)",,Andrew Clements,"Juvenile Fiction, Juvenile Literature",Simon & Schuster - All Library,2013
8684,Digital,OverDrive,AUDIOBOOK,2018,1,1,History Is Wrong (Unabridged),,Erich von Daniken,"History, New Age, Nonfiction","Tantor Media, Inc",2014
8698,Digital,OverDrive,AUDIOBOOK,2018,1,1,Say What You Will (Unabridged),,Cammie McGovern,"Young Adult Fiction, Young Adult Literature",HarperCollins Publishers Inc.,2014
8709,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Paris Secret (Unabridged),,Karen Swan,"Fiction, Literature, Romance","Dreamscape Media, LLC",2017
8726,Digital,OverDrive,AUDIOBOOK,2018,1,8,"The Danger of Desire: Sinful Suitors Series, Book 3 (unabridged) (Unabridged)",,Sabrina Jeffries,"Fiction, Historical Fiction, Romance","Tantor Media, Inc",2016
8734,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Silent Dead: Reiko Himekawa Series, Book 1 (unabridged) (Unabridged)",,Tetsuya Honda,"Fiction, Mystery","Blackstone Audio, Inc.",2016
8744,Digital,OverDrive,AUDIOBOOK,2018,1,4,I Am the Messenger (Unabridged),,Markus Zusak,"Mystery, Young Adult Fiction",Books on Tape,2007
8745,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Blind Faith: Sin Brothers Series, Book 3 (unabridged) (Unabridged)",,Rebecca Zanetti,"Fiction, Romance, Suspense","Blackstone Audio, Inc.",2015
8758,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Three Days to Dead: Dreg City Series, Book 1 (unabridged) (Unabridged)",,Kelly Meding,"Fantasy, Fiction","Tantor Media, Inc",2011
8764,Digital,OverDrive,AUDIOBOOK,2018,1,16,The Girl with the Make-Believe Husband: A Bridgertons Prequel (unabridged) (Unabridged),,Julia Quinn,"Fiction, Romance",HarperCollins Publishers Inc.,2017
8765,Digital,OverDrive,AUDIOBOOK,2018,1,1,A World Gone Social: How Companies Must Adapt to Survive (unabridged) (Unabridged),,Ted Coine,"Business, Current Events, Nonfiction",Gildan Media Corp,2014
8768,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Midnight Rambler: Jack Carpenter Series, Book 1 (unabridged) (Unabridged)",,James Swain,"Fiction, Thriller","Blackstone Audio, Inc.",2008
8771,Digital,OverDrive,AUDIOBOOK,2018,1,3,The Mysterious Affair at Styles (Unabridged),,Agatha Christie,"Classic Literature, Fiction, Suspense","Sound Room Publishers, Inc.",2005
8776,Digital,OverDrive,AUDIOBOOK,2018,1,6,Ancillary Mercy (Unabridged),,Ann Leckie,"Fiction, Science Fiction, Thriller","Blackstone Audio, Inc.",2015
8797,Digital,OverDrive,AUDIOBOOK,2018,1,2,"The Interrupted Tale: The Incorrigible Children of Ashton Place Series, Book 4 (unabridged) (Unabridged)",,Maryrose Wood,"Humor (Fiction), Juvenile Fiction",Books on Tape,2014
8806,Digital,OverDrive,AUDIOBOOK,2018,1,7,"The Reluctant Queen: Queens of Renthia Series, Book 2 (unabridged) (Unabridged)",,Sarah Beth Durst,"Fantasy, Fiction, Literature, Thriller",HarperCollins Publishers Inc.,2017
8814,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Runnin' with the Devil: A Backstage Pass to the Wild Times, Loud Rock, and the Down and Dirty Truth Behind the Making of Van Halen (unabridged) (Unabridged)",,Noel Monk,"Biography & Autobiography, Nonfiction, Performing Arts",HarperCollins Publishers Inc.,2017
8822,Digital,OverDrive,AUDIOBOOK,2018,1,1,Munich Airport (Unabridged),,Greg Baxter,"Fiction, Literature","Blackstone Audio, Inc.",2015
8824,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Seduction in Session: The Perfect Gentlemen Series, Book 2 (unabridged) (Unabridged)",,Shayla Black,"Fiction, Romance, Suspense, Thriller",Books on Tape,2016
8834,Digital,OverDrive,AUDIOBOOK,2018,1,2,Three Levels of Power and How to Use Them (Unabridged),,Caroline Myss,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2007
8880,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Care and Feeding of an Alpha Male: Bluebonnet Series, Book 2 (unabridged) (Unabridged)",,Jessica Clare,"Fiction, Romance","Tantor Media, Inc",2015
8940,Digital,OverDrive,AUDIOBOOK,2018,1,1,"An American Family Shakespeare Entertainment, Volume 2: Based on Charles & Mary Lambs Tales from Shakespeare, With Scenes, Soliloquies and Music from Shakespeare's Plays (unabridged) (Unabridged)",,Stefan Rudnicki,"Classic Literature, Fiction","Blackstone Audio, Inc.",2008
8943,Digital,OverDrive,AUDIOBOOK,2018,1,2,Nelson Mandela: Le Rodigieux Destin D'un Humaniste (unabridged) (Unabridged),,Nelson Mandela,"Biography & Autobiography, Nonfiction",Ao Vivo Production,2017
8955,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Year of Lear: Shakespeare in 1606 (unabridged) (Unabridged),,James Shapiro,"Biography & Autobiography, Nonfiction","Tantor Media, Inc",2016
8956,Digital,OverDrive,AUDIOBOOK,2018,1,4,Reasons to Stay Alive (Unabridged),,Matt Haig,"Nonfiction, Self-Improvement",CSA Word,2016
8961,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Thicket (Unabridged),,Joe R. Lansdale,"Fiction, Mystery, Thriller","Blackstone Audio, Inc.",2013
8980,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Bottom of Your Heart: Commissario Ricciardi Series, Book 7 (unabridged) (Unabridged)",,Maurizio de Giovanni,"Fiction, Mystery","Blackstone Audio, Inc.",2015
9018,Digital,OverDrive,AUDIOBOOK,2018,1,1,Each Day Dies With Sleep (Unabridged),,Jose Rivera,"Drama, Fiction",L.A. Theatre Works,2009
9020,Digital,OverDrive,AUDIOBOOK,2018,1,12,"Gilead: Gilead Series, Book 1 (unabridged) (Unabridged)",,Marilynne Robinson,"Fiction, Historical Fiction, Literature",Macmillan Audio,2014
9038,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Convergence: The Zodiac Legacy Series, Book 1 (unabridged) (Unabridged)",,Disney Press,"Juvenile Fiction, Mythology, Thriller","Blackstone Audio, Inc.",2015
9039,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Mark of the Plague: The Blackthorn Key Series, Book 2 (unabridged) (Unabridged)",,Kevin Sands,"Fantasy, Historical Fiction, Juvenile Fiction, Mystery",Simon & Schuster - All Library,2016
9049,Digital,OverDrive,AUDIOBOOK,2018,1,5,"The Penderwicks on Gardam Street: The Penderwicks Series, Book 2 (unabridged) (Unabridged)",,Jeanne Birdsall,"Juvenile Fiction, Juvenile Literature",Books on Tape,2008
9056,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Dig If You Will the Picture: Funk, Sex, God and Genius in the Music of Prince (unabridged) (Unabridged)",,Ben Greenman,"Biography & Autobiography, Nonfiction, Performing Arts","Tantor Media, Inc",2017
9062,Digital,OverDrive,AUDIOBOOK,2018,1,4,Assignment in Eternity (Unabridged),,Robert A. Heinlein,"Fiction, Science Fiction","Blackstone Audio, Inc.",2013
9065,Digital,OverDrive,AUDIOBOOK,2018,1,15,The Boston Girl: A Novel (unabridged) (Unabridged),,Anita Diamant,"Fiction, Historical Fiction, Literature",Simon & Schuster - All Library,2014
9069,Digital,OverDrive,AUDIOBOOK,2018,1,1,John (Unabridged),,Cynthia Lennon,"Biography & Autobiography, Nonfiction",Books on Tape,2008
9092,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Killing Trail: Timber Creek K-9 Mystery Series, Book 1 (unabridged) (Unabridged)",,Margaret Mizushima,"Fiction, Mystery","Blackstone Audio, Inc.",2016
9103,Digital,OverDrive,AUDIOBOOK,2018,1,3,10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days! (unabridged) (Unabridged),,JJ Smith,"Health & Fitness, Nonfiction",Simon & Schuster - All Library,2017
9116,Digital,OverDrive,AUDIOBOOK,2018,1,3,Soulmates: A Novel (unabridged) (Unabridged),,Jessica Grose,"Fiction, Literature, Suspense, Thriller",HarperCollins Publishers Inc.,2016
9118,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Ferals: Ferals Series, Book 1 (unabridged) (Unabridged)",,Jacob Grey,"Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2015
9121,Digital,OverDrive,AUDIOBOOK,2018,1,3,"The Billionaire Takes a Bride: Billionaires and Bridesmaids Series, Book 3 (unabridged) (Unabridged)",,Jessica Clare,"Fiction, Literature","Tantor Media, Inc",2016
9128,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Tempest (Unabridged),,William Shakespeare,"Drama, Fiction","Naxos of America, Inc.",2005
9139,Digital,OverDrive,AUDIOBOOK,2018,1,1,True Believer: Stalin's Last American Spy (unabridged) (Unabridged),,Kati Marton,"Biography & Autobiography, History, Nonfiction, Politics",Simon & Schuster - All Library,2016
9176,Digital,OverDrive,AUDIOBOOK,2018,1,5,The Bluest Eye (Unabridged),,Toni Morrison,"Fiction, Literature",Books on Tape,2011
9229,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Caps For Sale: The Tale of a Peddler, Some Monkeys and Their Monkey Business (unabridged) (Unabridged)",,Esphyr Slobodkina,"Juvenile Fiction, Juvenile Literature",Live Oak Media,2013
9238,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Mongrel Mage: Saga of Recluce Series, Book 19 (unabridged) (Unabridged)",,"L. E. Modesitt, Jr.","Fantasy, Fiction","Tantor Media, Inc",2017
9242,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Caveat Emptor: Medicus Investigation Series, Book 4 (unabridged) (Unabridged)",,Ruth Downie,"Fiction, Historical Fiction, Literature","Tantor Media, Inc",2014
9247,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Experience on Demand: What Virtual Reality Is, How It Works, and What It Can Do (unabridged) (Unabridged)",,Jeremy Bailenson,"Computer Technology, Nonfiction, Technology","Blackstone Audio, Inc.",2018
9249,Digital,OverDrive,AUDIOBOOK,2018,1,3,How Dare the Sun Rise: Memoirs of a War Child (unabridged) (Unabridged),,Sandra Uwiringiyimana,"Sociology, Young Adult Nonfiction",HarperCollins Publishers Inc.,2017
9282,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Murder in the Afternoon: Kate Shackleton Series, Book 3 (unabridged) (Unabridged)",,Frances Brody,"Fiction, Historical Fiction, Mystery, Suspense","Dreamscape Media, LLC",2014
9286,Digital,OverDrive,AUDIOBOOK,2018,1,6,Lethal (Unabridged),,Sandra Brown,"Fiction, Thriller","Blackstone Audio, Inc.",2011
9307,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Never Again Good-Bye: Second Chances Series, Book 1 (unabridged) (Unabridged)",,Terri Blackstock,"Christian Fiction, Fiction, Suspense",Zondervan,2013
9315,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Ultima: Proxima Series, Book 2 (unabridged) (Unabridged)",,Stephen Baxter,"Fiction, Literature","Tantor Media, Inc",2015
9318,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Truevine: Two Brothers, a Kidnapping, and a Mother's Quest: A True Story of the Jim Crow South (unabridged) (Unabridged)",,Beth Macy,"Biography & Autobiography, History, Nonfiction","Blackstone Audio, Inc.",2016
9325,Digital,OverDrive,AUDIOBOOK,2018,1,1,Table Manners: How to Behave in the Modern World and Why Bother (unabridged) (Unabridged),,Jeremiah Tower,"Nonfiction, Reference",Books on Tape,2016
9330,Digital,OverDrive,AUDIOBOOK,2018,1,2,The Ghosts of Langley: Into the CIA's Heart of Darkness (unabridged) (Unabridged),,John Prados,"History, Nonfiction","Tantor Media, Inc",2017
9353,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Rivalry: Mystery at the Army-Navy Game: Steve Thomas & Susan Carol Anderson Mystery Series, Book 5 (unabridged) (Unabridged)",,John Feinstein,"Mystery, Young Adult Fiction",Books on Tape,2010
9360,Digital,OverDrive,AUDIOBOOK,2018,1,5,Billionaire at the Barricades: The Populist Revolution from Reagan to Trump (unabridged) (Unabridged),,Laura Ingraham,"Nonfiction, Politics",Macmillan Audio,2017
9364,Digital,OverDrive,AUDIOBOOK,2018,1,4,The Revenge of Analog: Real Things and Why They Matter (unabridged) (Unabridged),,David Sax,"Business, Nonfiction, Sociology, Technology",Hachette Audio,2016
9382,Digital,OverDrive,AUDIOBOOK,2018,1,1,Becoming Marie Antoinette: A Novel (unabridged) (Unabridged),,Juliet Grey,"Fiction, Historical Fiction",Books on Tape,2011
9384,Digital,OverDrive,AUDIOBOOK,2018,1,3,"Treasury of Greek Mythology: Classic Stories of God, Goddesses, Heroes & Monsters (unabridged) (Unabridged)",,Donna Jo Napoli,"Juvenile Nonfiction, Sociology","Recorded Books, LLC",2017
9390,Digital,OverDrive,AUDIOBOOK,2018,1,5,"Sweet Filthy Morning After: Wild Seasons Series, Book 1.5 (unabridged) (Unabridged)",,Christina Lauren,"Fiction, Romance, Short Stories",Simon & Schuster - All Library,2015
9393,Digital,OverDrive,AUDIOBOOK,2018,1,2,Motherest: A Novel (unabridged) (Unabridged),,Kristen Iskandrian,"Fiction, Literature",Hachette Audio,2017
9406,Digital,OverDrive,AUDIOBOOK,2018,1,11,Troublemaker: Surviving Hollywood and Scientology (unabridged) (Unabridged),,Leah Remini,"Biography & Autobiography, Nonfiction, Performing Arts, Religion & Spirituality",Books on Tape,2015
9476,Digital,OverDrive,AUDIOBOOK,2018,1,2,Healing Children: A Surgeon's Stories from the Frontiers of Pediatric Medicine (unabridged) (Unabridged),,"Kurt Newman, M.D.","Biography & Autobiography, Health & Fitness, Medical, Nonfiction",Books on Tape,2017
9481,Digital,OverDrive,AUDIOBOOK,2018,1,3,Lovingkindness Meditation: Learning to Love Through Insight Meditation (unabridged) (Unabridged),,Sharon Salzberg,"Nonfiction, Religion & Spirituality","Sounds True, Inc",2009
9500,Digital,OverDrive,AUDIOBOOK,2018,1,4,"Some Buried Caesar: Nero Wolfe Series, Book 6 (unabridged) (Unabridged)",,Rex Stout,"Fiction, Mystery",Books on Tape,2012
9509,Digital,OverDrive,AUDIOBOOK,2018,1,1,Slim by Design: Mindless Eating Solutions for Everyday Life (unabridged) (Unabridged),,Brian Wansink,"Health & Fitness, Nonfiction",HarperCollins Publishers Inc.,2014
9512,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Miss Klute Is a Hoot!: My Weirder School Series, Book 11 (unabridged) (Unabridged)",,Dan Gutman,"Humor (Fiction), Juvenile Fiction, Juvenile Literature",HarperCollins Publishers Inc.,2014
9525,Digital,OverDrive,AUDIOBOOK,2018,1,3,"One False Note: The 39 Clues Series, Book 2 (unabridged) (Unabridged)",,Gordon Korman,"Juvenile Fiction, Mystery, Suspense",Scholastic Inc. Audiobooks,2009
