,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
0,Digital,OverDrive,EBOOK,2018,1,22,Enemy of the State,,Vince Flynn,"Fiction, Literature, Thriller","Simon & Schuster, Inc.",2017
1,Digital,Hoopla,TELEVISION,2018,1,1,Newspaper Mom / Cucumber in Rio / Donut Raffle,,,Children's,DHX Media,
3,Digital,OverDrive,EBOOK,2018,1,2,Anna Karenina,,Leo Tolstoy,"Classic Literature, Fiction, Literature","Penguin Group (USA), Inc.",2009
4,Digital,OverDrive,EBOOK,2018,1,1,"Dragon: Vlad Series, Book 8",,Steven Brust,"Fantasy, Fiction",Macmillan Publishers,2015
5,Digital,OverDrive,EBOOK,2018,1,1,Little Dorrit,,Charles Dickens,"Classic Literature, Fiction, Literature","Random House, Inc.",2012
6,Digital,OverDrive,EBOOK,2018,1,2,The Inside Out Man,,Fred Strydom,"Fiction, Horror, Suspense, Thriller",Lightning Source Inc,2017
8,Digital,OverDrive,EBOOK,2018,2,1,Krik? Krak!,,Edwidge Danticat,"Fiction, Literature, Short Stories","Random House, Inc.",2013
9,Digital,OverDrive,AUDIOBOOK,2018,2,1,Cleopatra (Unabridged),,H. Rider Haggard,"Fiction, Literature","Blackstone Audio, Inc.",2008
10,Digital,Hoopla,TELEVISION,2018,2,1,1410  Tannenberg-Cataclysm of Knights,,,"Educational, History",The Great Courses,
11,Digital,OverDrive,EBOOK,2018,2,4,Starlings,,Jo Walton,"Fantasy, Fiction, Mythology, Short Stories",Lightning Source Inc,2018
12,Digital,OverDrive,AUDIOBOOK,2018,2,20,Matilda (Unabridged),,Roald Dahl,"Fantasy, Juvenile Fiction",Books on Tape,2014
13,Digital,Hoopla,COMIC,2018,2,1,Cable & Deadpool: Deadpool Vs. The Marvel Universe,,,"Superhero, Teen",Marvel Entertainment,
14,Digital,OverDrive,AUDIOBOOK,2018,2,4,The Power of Sleep (Unabridged),,Kelly Howell,"Nonfiction, Self-Improvement",Books on Tape,2008
15,Digital,Hoopla,MOVIE,2018,2,1,League Of Denial: The NFL's Concussion Crisis,,,"Documentary, Football, Sports",PBS,
16,Digital,OverDrive,AUDIOBOOK,2018,2,3,Phantom Instinct (Unabridged),,Meg Gardiner,"Fiction, Mystery","Blackstone Audio, Inc.",2014
17,Digital,OverDrive,EBOOK,2018,2,1,A Death in Valencia,,Jason Webster,"Fiction, Mystery",Macmillan Publishers,2016
18,Digital,Hoopla,COMIC,2018,2,2,Anarky: The Complete Collection,,,"Action & Adventure, Crime, Superhero, Teen",DC Comics,
19,Digital,Hoopla,COMIC,2018,3,1,Batman: The Long Halloween,,,"Media Tie-In, Superhero",DC Comics,
21,Digital,Hoopla,TELEVISION,2018,3,1,"Tomatoes…You Say Heirloom, I Say Old Timey",,,Food & Cooking,PBS,
23,Digital,Freegal,SONG,2018,3,2,I Believe I Can Fly,,R. Kelly,,,
24,Digital,OverDrive,EBOOK,2018,3,1,Wayne of Gotham,,Tracy Hickman,"Fiction, Literature",HarperCollins Publishers Inc.,2012
26,Digital,OverDrive,EBOOK,2018,3,5,I'd Know You Anywhere: A Novel,,Laura Lippman,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
27,Digital,Freegal,SONG,2018,3,1,"Six Morceaux, Op. 19: V. Capriccioso",,"Piotr Ilyich Tchaikovsky,Valery Vishnevsky",,,
28,Digital,OverDrive,EBOOK,2018,3,2,The Deep End of the Ocean,,Jacquelyn Mitchard,"Fiction, Literature","Penguin Group (USA), Inc.",2009
29,Digital,Freegal,SONG,2018,3,1,"What to Do with the Neutral (Live, In Studio at 107.7 the End Seattle)",,Mudhoney,,,
31,Digital,OverDrive,EBOOK,2018,3,2,The Mysterious Mr. Quin,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2010
32,Digital,OverDrive,EBOOK,2018,3,1,Secondhand Charm,,Julie Berry,"Fantasy, Young Adult Fiction",Bloomsbury USA,2010
33,Digital,OverDrive,EBOOK,2018,3,3,Apex: Nexus Trilogy Book 3,,Ramez Naam,"Fiction, Science Fiction, Thriller","Random House, Inc.",2016
34,Digital,Freegal,SONG,2018,3,1,High on the Hog,,"Tommy Castro,The Legendary Rhythm & Blues Revue",,,
36,Digital,Hoopla,COMIC,2018,3,1,Winnebago Graveyard,,,"Fiction, Horror",Image Comics,
37,Digital,OverDrive,EBOOK,2018,3,2,More Than This,,Patrick Ness,"Young Adult Fiction, Young Adult Literature",Candlewick Press,2013
38,Digital,Hoopla,COMIC,2018,4,1,Powerpuff Girls,,,"Action & Adventure, Children's, Media Tie-In, Superhero",IDW Publishing,
39,Digital,OverDrive,AUDIOBOOK,2018,4,1,The Vaults (Unabridged),,Toby Ball,"Fiction, Mystery",Iambik Audio,2014
40,Digital,OverDrive,EBOOK,2018,5,3,How to Listen to Jazz,,Ted Gioia,"History, Music, Nonfiction","Hachette Digital, Inc.",2016
41,Digital,OverDrive,EBOOK,2018,5,2,"Love, Chloe",,Alessandra Torre,"Fiction, Humor (Fiction), Romance",Lightning Source Inc,2016
44,Digital,OverDrive,EBOOK,2018,8,2,In Arabian Nights,,Tahir Shah,"Nonfiction, Travel","Random House, Inc.",2010
47,Digital,OverDrive,EBOOK,2018,10,4,Invitation to a Bonfire,,Adrienne Celt,"Fiction, Literature",Bloomsbury USA,2018
48,Digital,OverDrive,EBOOK,2018,11,18,And Then There Were None,,Agatha Christie,"Fiction, Mystery",HarperCollins Publishers Inc.,2006
50,Digital,OverDrive,EBOOK,2018,12,3,Love Is Murder,,Sandra Brown,"Fiction, Thriller, Thriller","Harlequin Enterprises, Ltd.",2013
51,Digital,OverDrive,EBOOK,2018,12,3,Monkey Play,,Alyssa Satin Capucilli,"Beginning Reader, Juvenile Fiction","Random House, Inc.",2013
52,Digital,OverDrive,EBOOK,2018,12,1,The History of Cuba,,Clifford L. Staten,"History, Nonfiction",ABC-CLIO,2010
53,Digital,OverDrive,EBOOK,2018,12,2,First Date,,Krista McGee,"Christian Fiction, Romance, Young Adult Fiction",Thomas Nelson Inc.,2012
55,Digital,OverDrive,AUDIOBOOK,2018,12,3,I Liked My Life: A Novel (unabridged) (Unabridged),,Abby Fabiaschi,"Fiction, Literature",Macmillan Audio,2017
56,Digital,OverDrive,EBOOK,2018,12,1,The Story of French,,Jean-Benoit Nadeau,"History, Language Arts, Nonfiction",Macmillan Publishers,2013
61,Digital,OverDrive,EBOOK,2018,12,1,Who Was Ben Franklin?,,Dennis Brindell Fradin,"Biography & Autobiography, Juvenile Nonfiction","Penguin Group (USA), Inc.",2013
64,Digital,OverDrive,EBOOK,2018,12,2,"A Christmas Secret: Christmas Story Series, Book 4",,Anne Perry,"Fiction, Historical Fiction, Mystery","Random House, Inc.",2010
65,Digital,OverDrive,AUDIOBOOK,2018,12,12,"Red Notice: A True Story of High Finance, Murder and One Man's Fight for Justice (unabridged) (Unabridged)",,Bill Browder,"Business, Nonfiction","Recorded Books, LLC",2018
67,Digital,OverDrive,EBOOK,2018,12,6,In Other Lands,,Sarah Rees Brennan,"Fantasy, Folklore, Young Adult Fiction",Lightning Source Inc,2017
69,Digital,OverDrive,EBOOK,2018,12,1,"The Favored Child: Wideacre Trilogy, Book 2",,Philippa Gregory,"Fiction, Historical Fiction","Simon & Schuster, Inc.",2014
70,Digital,OverDrive,AUDIOBOOK,2018,12,1,Cutting Edge: A Novel (unabridged) (Unabridged),,Ward Larsen,"Fiction, Thriller",Macmillan Audio,2018
75,Digital,OverDrive,EBOOK,2018,12,2,The Girls' Guide to Hunting and Fishing,,Melissa Bank,"Fiction, Literature","Penguin Group (USA), Inc.",2013
76,Digital,Freegal,SONG,2018,1,2,Live and Let Die,,Wings,,,
77,Digital,Freegal,SONG,2018,1,1,Worth It,,Fifth Harmony,,,
78,Digital,Freegal,SONG,2018,1,1,3.T.,,Jan-Olaf Rodt Quartet,,,
79,Digital,Freegal,SONG,2018,1,1,Books About UFOs,,Husker Du,,,
80,Digital,Freegal,SONG,2018,1,1,1000 Times,,Sara Bareilles,,,
82,Digital,Freegal,SONG,2018,1,1,Changes,,Chris Lake,,,
83,Digital,Freegal,SONG,2018,1,1,Let's Make It,,AC/DC,,,
84,Digital,Freegal,SONG,2018,1,1,Stars,,Jackie Thomas,,,
85,Digital,Freegal,SONG,2018,1,1,Wang Chun Fen,,Jo-Yu Chen,,,
86,Digital,Freegal,SONG,2018,1,1,Nappy Heads: Remix,,Fugees,,,
87,Digital,Freegal,SONG,2018,1,1,Mystery Disease,,MGMT,,,
88,Digital,Freegal,SONG,2018,1,1,In The Clear,,Foo Fighters,,,
89,Digital,Freegal,SONG,2018,1,1,Believer,,Mary Mary,,,
90,Digital,Freegal,SONG,2018,1,1,Jibber-Jabber,,Supersuckers,,,
91,Digital,Freegal,SONG,2018,1,1,Charro!,,Elvis Presley,,,
92,Digital,Hoopla,MOVIE,2018,1,1,The Truth About Lies,,,Comedy,Level 33 Entertainment,
93,Digital,Freegal,SONG,2018,1,1,Hangin' On For Dear Life,,Go West,,,
94,Digital,Freegal,SONG,2018,1,1,"Swing Low, Sweet Chariot",,Alex de Grassi,,,
95,Digital,Freegal,SONG,2018,1,1,Fear Not Mary,,Will Ackerman;Nick Berry,,,
96,Digital,Freegal,SONG,2018,1,1,Honky Tonk Flame,,Tyler Childers,,,
97,Digital,Freegal,SONG,2018,1,1,Innocent Voices (Jay's 2014 Mix),,Muse,,,
98,Digital,Hoopla,MUSIC,2018,1,3,Hear Us Roar,,,Pop,"UMG Recordings, Inc.",
99,Digital,Freegal,SONG,2018,1,1,Love You Long Time,,Pentatonix,,,
100,Digital,Freegal,SONG,2018,1,1,Death Don't Have No Mercy,,Hot Tuna,,,
101,Digital,Freegal,SONG,2018,1,1,Mar Desconocido,,Pink Martini,,,
102,Digital,Hoopla,TELEVISION,2018,1,2,Nice Work If You Can Get It,,,"Anime, Teen",Filmhub,
103,Digital,Freegal,SONG,2018,1,1,Too Many Miracles,,Badly Drawn Boy,,,
104,Digital,Hoopla,TELEVISION,2018,1,6,Murder is Easy,,,"Crime, Mystery",Acorn,
105,Digital,Freegal,SONG,2018,1,1,I Could Be So Good To You,,Don & The Goodtimes,,,
106,Digital,Hoopla,MUSIC,2018,1,1,Under Rug Swept,,,Pop,Reprise/Maverick,
107,Digital,Freegal,SONG,2018,1,1,Santa Bring My Baby Back (To Me),,Elvis Presley,,,
108,Digital,Freegal,SONG,2018,1,1,1812 Overture,,Budapest Philharmonic Orchestra,,,
109,Digital,Freegal,SONG,2018,1,1,Killin It (feat. OYG) [Joe Styles Remix],,Sick Team,,,
110,Digital,Freegal,SONG,2018,1,1,Thin Line Between Love and Hate (Live),,The Persuaders,,,
111,Digital,Freegal,SONG,2018,1,1,Climbing Through,,The Authentics,,,
112,Digital,Freegal,SONG,2018,1,1,Toccata & Fugue In D Minor,,The Hit Crew,,,
113,Digital,OverDrive,EBOOK,2018,1,2,Smut,,Karina Halle,"Fiction, Romance","Smashwords, Inc.",2016
114,Digital,Freegal,SONG,2018,1,1,Art of Darkness,,Jo-Yu Chen,,,
115,Digital,Hoopla,MUSIC,2018,1,2,When Was The Last Time,,,Country,Capitol Records Nashville,
116,Digital,Hoopla,MOVIE,2018,1,1,Blurred Lines,,,Documentary,Gravitas Ventures,
117,Digital,Freegal,SONG,2018,1,1,Katjuscha,,Golden Ring Ensemble,,,
118,Digital,Hoopla,TELEVISION,2018,1,3,The Curse of Beaton Manor,,,"Crime, Mystery",Acorn,
119,Digital,Hoopla,MOVIE,2018,1,2,The Frozen Ground,,,Suspense / Thriller,Lionsgate,
120,Digital,Freegal,SONG,2018,1,1,Hello,,"Felix Slovacek,Lionel Richie,Big Band Radio Praha",,,
121,Digital,Freegal,SONG,2018,1,1,I Hate My Frickin I.S.P.,,Todd Rundgren,,,
122,Digital,Hoopla,MOVIE,2018,1,1,The Beat Hotel,,,Documentary,First Run Features,
123,Digital,Freegal,SONG,2018,1,1,Space Transmission,,Porcupine Tree,,,
124,Digital,Freegal,SONG,2018,1,2,Nakamarra (feat. Q-Tip),,Hiatus Kaiyote feat. Q-Tip,,,
125,Digital,Hoopla,TELEVISION,2018,1,1,Hot Lunch,,,Comedy,Viacom,
126,Digital,Freegal,SONG,2018,1,4,Mama Always Told Me,,G-Eazy feat. Madison Love,,,
127,Digital,Hoopla,TELEVISION,2018,1,1,The Final,,,Food & Cooking,PBS,
128,Digital,Freegal,SONG,2018,1,1,The Blue and Grey,,John Williams,,,
129,Digital,Freegal,SONG,2018,1,1,Lonesome Road Blues,,Flatt & Scruggs,,,
130,Digital,Freegal,SONG,2018,1,1,Long Train Runnin': Live,,The Doobie Brothers,,,
131,Digital,Freegal,SONG,2018,1,1,Otha N***as,,Chris Brown,,,
132,Digital,Freegal,SONG,2018,1,4,Summer Breeze,,Chris Brown,,,
133,Digital,Freegal,SONG,2018,1,1,Pearly Shells,,Columbia River Group Entertainment,,,
134,Digital,Hoopla,TELEVISION,2018,1,1,Asia,,,History,PBS,
135,Digital,Freegal,SONG,2018,1,1,Wanted (Live in Madrid),,The Cranberries,,,
136,Digital,Freegal,SONG,2018,1,1,Cold Shot: Live,,Stevie Ray Vaughan & Double Trouble,,,
137,Digital,Hoopla,MUSIC,2018,1,1,Dinner Party,,,Pop,"UMG Recordings, Inc.",
139,Digital,OverDrive,AUDIOBOOK,2018,1,4,Sing You Home (Unabridged),,Jodi Picoult,"Fiction, Literature","Recorded Books, LLC",2016
140,Digital,OverDrive,EBOOK,2018,1,2,Playing Dirty,,Susan Andersen,"Fiction, Romance","Harlequin Enterprises, Ltd.",2012
141,Digital,Freegal,SONG,2018,1,1,So Far: alternate take,,Frank Sinatra,,,
142,Digital,OverDrive,EBOOK,2018,1,1,Hunted,,Karen Robards,"Fiction, Romance, Suspense","Simon & Schuster, Inc.",2014
143,Digital,Hoopla,MOVIE,2018,1,1,The Final Member,,,"Canadian, Documentary, World",Drafthouse Films,
144,Digital,Hoopla,MUSIC,2018,1,1,Achtung Baby,,,Rock,A&M,
145,Digital,OverDrive,EBOOK,2018,1,1,Chomsky on Anarchism,,Noam Chomsky,"Essays, Nonfiction, Politics",Perseus Books Group,2010
146,Digital,OverDrive,EBOOK,2018,1,2,Timon of Athens,,William Shakespeare,"Drama, Fiction","Penguin Group (USA), Inc.",2011
147,Digital,OverDrive,EBOOK,2018,1,1,The White Plague,,Frank Herbert,"Fiction, Science Fiction",Macmillan Publishers,2013
148,Digital,OverDrive,EBOOK,2018,1,2,Momofuku Milk Bar,,Christina Tosi,"Cooking & Food, Nonfiction","Random House, Inc.",2011
149,Digital,OverDrive,AUDIOBOOK,2018,1,2,Empire Falls (Unabridged),,Richard Russo,"Fiction, Literature",Books on Tape,2011
150,Digital,OverDrive,EBOOK,2018,1,4,Joy in the Morning,,P. G. Wodehouse,"Fiction, Humor (Fiction)",W. W. Norton & Company,2015
151,Digital,Hoopla,TELEVISION,2018,1,1,Aperture and Depth of Field,,,"Educational, How To",The Great Courses,
152,Digital,OverDrive,EBOOK,2018,1,4,Ordinary Beast,,Nicole Sealey,"Fiction, Poetry",HarperCollins Publishers Inc.,2017
153,Digital,OverDrive,EBOOK,2018,1,13,Heroes of the Frontier,,Dave Eggers,"Fiction, Literature, Thriller","Random House, Inc.",2016
154,Digital,Hoopla,MUSIC,2018,1,1,Morocco,,,Electronic,Blipswitch Digital,
157,Digital,Freegal,SONG,2018,1,1,+Orrchida,,Integrity,,,
158,Digital,Freegal,SONG,2018,1,1,Makes Me Love You,,The Handsome Charlies,,,
159,Digital,OverDrive,EBOOK,2018,1,1,The Bishop's Daughter,,Tiffany L. Warren,"Fiction, Literature","Hachette Digital, Inc.",2012
160,Digital,Hoopla,TELEVISION,2018,1,1,The Neuroscience of Lasting Love,,,"Educational, Health & Fitness",The Great Courses,
161,Digital,Freegal,SONG,2018,1,1,Rigya Samten (Song in Praise of His Holiness),,Namgyal Lhamo,,,
162,Digital,Hoopla,COMIC,2018,1,1,PEP Digital: B&V Friends: Girls  Rule!,,,"Children's, Humorous, Media Tie-In",Archie,
163,Digital,Freegal,SONG,2018,1,1,Smile,,Tony Bennett duet with Barbra Streisand,,,
165,Digital,OverDrive,AUDIOBOOK,2018,1,2,Untold Story (Unabridged),,Monica Ali,"Fiction, Literature","Recorded Books, LLC",2017
166,Digital,OverDrive,EBOOK,2018,1,1,Seating Arrangements,,Maggie Shipstead,"Fiction, Literature","Random House, Inc.",2012
168,Digital,OverDrive,EBOOK,2018,1,7,2BR02B,,Kurt Vonnegut,"Fiction, Science Fiction, Short Stories",Duke Classics,2018
169,Digital,OverDrive,EBOOK,2018,1,27,The Road,,Cormac McCarthy,"Fiction, Literature","Random House, Inc.",2008
170,Digital,Hoopla,MUSIC,2018,1,3,Annie: The Broadway Musical 30th Anniversary Cast Recording,,,Soundtrack,Time-Life Music,
171,Digital,Hoopla,MUSIC,2018,1,1,Something To Remember (U.S. Version),,,Pop,Warner Bros.,
172,Digital,OverDrive,EBOOK,2018,1,3,Warrior of the Light,,Paulo Coelho,Fiction,HarperCollins Publishers Inc.,2006
173,Digital,Freegal,SONG,2018,1,1,Sunday Morning Paper,,Turnpike Troubadours,,,
174,Digital,Freegal,SONG,2018,1,1,I Love You Because,,Jim Reeves,,,
175,Digital,Freegal,SONG,2018,1,1,Tune Up,,"Amos Trice,Sonny Stitt,George Morrow,Lennie McBrowne",,,
178,Digital,OverDrive,AUDIOBOOK,2018,1,2,Ways to Disappear (Unabridged),,Idra Novey,"Fiction, Literature",Hachette Audio,2016
179,Digital,Hoopla,MUSIC,2018,1,1,Baraka: The Deluxe Edition (Original Motion Picture Soundtrack),,,Soundtrack,Varese Sarabande,
180,Digital,OverDrive,EBOOK,2018,1,2,Schindler's List,,Thomas Keneally,"Fiction, Historical Fiction","Simon & Schuster, Inc.",2014
181,Digital,OverDrive,EBOOK,2018,1,1,The Body Where I Was Born,,Guadalupe Nettel,"Fiction, Literature","Random House, Inc.",2015
182,Digital,OverDrive,EBOOK,2018,1,1,HHhH: A Novel,,Laurent Binet,"Fiction, Literature",Macmillan Publishers,2013
183,Digital,Hoopla,COMIC,2018,1,20,The Legend Of Zelda: Art & Artifacts,,,"Children's, Fiction",Dark Horse Comics,
184,Digital,OverDrive,EBOOK,2018,1,1,Losing It,,Cora Carmack,"Fiction, Romance",HarperCollins Publishers Inc.,2013
185,Digital,OverDrive,EBOOK,2018,1,4,Freaky Deaky,,Elmore Leonard,Fiction,HarperCollins Publishers Inc.,2005
186,Digital,OverDrive,AUDIOBOOK,2018,1,5,The Terror (Unabridged),,Dan Simmons,"Fiction, Literature",Books on Tape,2007
189,Digital,OverDrive,EBOOK,2018,1,3,The Toyota Way Fieldbook,,Jeffrey K. Liker,"Business, Nonfiction",McGraw-Hill Professional,2009
191,Digital,OverDrive,EBOOK,2018,1,1,Alternate Realities,,C. J. Cherryh,"Fiction, Science Fiction","Penguin Group (USA), Inc.",2013
192,Digital,OverDrive,EBOOK,2018,1,1,Philosophy Made Simple,,Robert Hellenga,"Fiction, Literature","Hachette Digital, Inc.",2013
193,Digital,OverDrive,EBOOK,2018,1,3,Sparrow,,Sarah Moon,"Young Adult Fiction, Young Adult Literature","Scholastic, Inc. (US)",2017
194,Digital,OverDrive,EBOOK,2018,1,4,Blindness,,José Saramago,"Fiction, Literature",Houghton Mifflin Harcourt Trade and Reference,2011
198,Digital,OverDrive,EBOOK,2018,1,1,Runaway Man: A Mystery,,David Handler,"Fiction, Mystery",Macmillan Publishers,2015
199,Digital,Zinio,MAGAZINE,2018,1,49,Family Circle,,,,,
200,Digital,OverDrive,EBOOK,2018,1,2,The Turning: Stories,,Tim Winton,"Fiction, Literature, Short Stories","Simon & Schuster, Inc.",2014
201,Digital,OverDrive,AUDIOBOOK,2018,1,1,The House (Unabridged),,Danielle Steel,"Fiction, Romance",Books on Tape,2008
202,Digital,OverDrive,EBOOK,2018,1,52,Don't Let Go,,Harlan Coben,"Fiction, Suspense, Thriller","Penguin Group (USA), Inc.",2017
203,Digital,OverDrive,EBOOK,2018,1,4,Straight from the Hip,,Susan  Mallery,"Fiction, Romance","Harlequin Enterprises, Ltd.",2009
204,Digital,OverDrive,EBOOK,2018,1,1,Enchanted No More,,Robin D. Owens,"Fantasy, Fiction, Romance","Harlequin Enterprises, Ltd.",2011
205,Digital,Hoopla,MOVIE,2018,1,1,The Humbling,,,"Comedy, Drama, Romance, Romantic, Romantic Comedy",Alchemy,
211,Digital,Hoopla,MUSIC,2018,1,1,The Snow Queen,,,Pop,LIGHTYEAR,
213,Digital,OverDrive,EBOOK,2018,1,1,"Sin and Sensibility: The Griffin Family Series, Book 1",,Suzanne Enoch,"Fiction, Historical Fiction, Romance",HarperCollins Publishers Inc.,2010
215,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Get Motivated!: Overcome Any Obstacle, Achieve Any Goal, and Accelerate Your Success with Motivational DNA (unabridged) (Unabridged)",,Tamara Lowe,"Business, Nonfiction",Books on Tape,2009
217,Digital,Freegal,SONG,2018,1,1,The Auld Triangle,,The Dubliners,,,
218,Digital,OverDrive,EBOOK,2018,1,1,Volume Four,,Brian James Freeman,"Fantasy, Fiction, Horror, Romance","Random House, Inc.",2017
219,Digital,OverDrive,EBOOK,2018,1,2,"The Minor Adjustment Beauty Salon: The No. 1 Ladies' Detective Agency Series, Book 14",,Alexander McCall Smith,"Fiction, Humor (Fiction), Mystery","Random House, Inc.",2013
221,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Problem of Pain (Unabridged),,C. S. Lewis,"Nonfiction, Religion & Spirituality",HarperCollins Publishers Inc.,2013
222,Digital,Freegal,SONG,2018,1,1,Rebus 4,,Joe Morris,,,
223,Digital,Freegal,SONG,2018,1,1,Everything That Rises (New Version),,Pop Will Eat Itself,,,
226,Digital,OverDrive,AUDIOBOOK,2018,1,1,The Power of the Dog (Unabridged),,Don Winslow,"Fiction, Suspense","Blackstone Audio, Inc.",2011
229,Digital,OverDrive,EBOOK,2018,1,1,Max and Ruby at the Warthogs' Wedding,,Rosemary Wells,"Juvenile Fiction, Picture Book Fiction","Penguin Group (USA), Inc.",2015
231,Digital,OverDrive,EBOOK,2018,1,4,Shining City: A Novel,,Tom Rosenstiel,"Fiction, Thriller",HarperCollins Publishers Inc.,2017
233,Digital,OverDrive,EBOOK,2018,1,2,"The Theory of Death: Peter Decker / Rina Lazarus Series, Book 23",,Faye Kellerman,"Fiction, Mystery, Thriller",HarperCollins Publishers Inc.,2015
235,Digital,OverDrive,EBOOK,2018,1,1,Gunman's Rhapsody,,Robert B. Parker,"Fiction, Western","Penguin Group (USA), Inc.",2013
241,Digital,Freegal,SONG,2018,1,1,Come a Little Bit Closer,,Jay and the Americans,,,
242,Digital,Hoopla,MOVIE,2018,1,1,Warren Miller's Extreme Winter,,,"Sports, Travel",Warren Miller Entertainment,
245,Digital,Freegal,SONG,2018,1,1,Poor Little Rich Girl,,Judy Garland,,,
248,Digital,OverDrive,EBOOK,2018,1,1,"Borderlands: Inspector Benedict Devlin Series, Book 1",,Brian McGilloway,"Fiction, Mystery",Macmillan Publishers,2013
250,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The Scent of Salt and Sand: Escaped Series, Book 2.5 (unabridged) (Unabridged)",,Kristin Cast,"Fantasy, Fiction, Romance","Blackstone Audio, Inc.",2016
252,Digital,OverDrive,EBOOK,2018,1,4,The Legend Trilogy Collection,,Marie Lu,"Romance, Science Fiction & Fantasy, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2014
257,Digital,Freegal,SONG,2018,1,1,Out of Station,,Blue Oyster Cult,,,
260,Digital,Freegal,SONG,2018,1,1,U + Ur Hand: BeatCult Remix,,P!nk,,,
270,Digital,OverDrive,EBOOK,2018,1,1,"Vicious Circle: Felix Castor Series, Book 2",,Mike Carey,"Fantasy, Fiction, Thriller","Hachette Digital, Inc.",2012
271,Digital,OverDrive,EBOOK,2018,1,1,365 Slow Cooker Suppers,,Stephanie O'Dea,"Cooking & Food, Nonfiction",Houghton Mifflin Harcourt Trade and Reference,2013
273,Digital,OverDrive,AUDIOBOOK,2018,1,4,Fahrenheit 451 (Unabridged),,Ray Bradbury,"Fiction, Science Fiction & Fantasy","Tantor Media, Inc",2014
274,Digital,OverDrive,EBOOK,2018,1,1,"Footprints Under the Window: Hardy Boys Series, Book 12",,Franklin W. Dixon,"Juvenile Fiction, Mystery","Penguin Group (USA), Inc.",2011
277,Digital,OverDrive,EBOOK,2018,1,35,The Orphan Master's Son: A Novel,,Adam Johnson,"Fiction, Literature, Suspense, Thriller","Random House, Inc.",2012
280,Digital,OverDrive,EBOOK,2018,1,1,"The Titans: Kent Family Series, Book 5",,John Jakes,"Fiction, Literature",Open Road Integrated Media,2012
283,Digital,OverDrive,EBOOK,2018,1,1,Negocios: Spanish-language edition of Drown,,Junot Díaz,"Fiction, Literature, Short Stories","Random House, Inc.",2013
285,Digital,OverDrive,EBOOK,2018,1,16,The 100-Year-Old Man Who Climbed Out the Window and Disappeared,,Jonas Jonasson,"Fiction, Literature","Hachette Digital, Inc.",2012
287,Digital,OverDrive,AUDIOBOOK,2018,1,64,Into the Water: A Novel (unabridged) (Unabridged),,Paula Hawkins,"Fiction, Literature, Suspense, Thriller",Books on Tape,2017
291,Digital,OverDrive,EBOOK,2018,1,1,"The Moonstone and Miss Jones: Phaeton Black Series, Book 2",,Jillian Stone,"Fantasy, Fiction, Historical Fiction, Romance","Random House, Inc.",2012
293,Digital,OverDrive,EBOOK,2018,1,4,"Single, Carefree, Mellow: Stories",,Katherine Heiny,"Fiction, Humor (Fiction), Literature","Random House, Inc.",2015
294,Digital,Hoopla,COMIC,2018,1,5,Big Nate: I Can't Take It!,,,"Children's, Humorous",Andrews McMeel,
300,Digital,Freegal,SONG,2018,1,1,Milestones,,Bill Evans,,,
302,Digital,OverDrive,AUDIOBOOK,2018,1,1,"The World Is Bigger Now: An American Journalist's Release from Captivity in North Korea . . . A Remarkable Story of Faith, Family, and Forgiveness (unabridged) (Unabridged)",,Euna Lee,"Biography & Autobiography, Nonfiction",Books on Tape,2010
303,Digital,Freegal,SONG,2018,1,1,Notget,,Bjork,,,
306,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Through the Grinder: Coffeehouse Mystery Series, Book 2 (unabridged) (Unabridged)",,Cleo Coyle,"Fiction, Mystery","Blackstone Audio, Inc.",2012
307,Digital,Freegal,SONG,2018,1,2,Butterscotch Goddam,,Fischerspooner feat. Johnny Magee,,,
308,Digital,Hoopla,MOVIE,2018,1,1,Cheech and Chong's Still Smokin,,,Comedy,Paramount Pictures,
317,Digital,OverDrive,EBOOK,2018,1,13,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,,Kim Scott,"Business, Nonfiction",Macmillan Publishers,2017
318,Digital,OverDrive,AUDIOBOOK,2018,1,1,Why Teams Don't Work: What Went Wrong & How to Make It Right (abridged) (Abridged),,Harvey Robbins,"Business, Nonfiction",HighBridge Company,2007
319,Digital,Freegal,SONG,2018,1,1,Calling from the Wild,,Tarja,,,
321,Digital,OverDrive,AUDIOBOOK,2018,1,4,"By a Spider's Thread: Tess Monaghan Series, Book 8 (unabridged) (Unabridged)",,Laura Lippman,"Fiction, Suspense, Thriller",HarperCollins Publishers Inc.,2017
322,Digital,OverDrive,AUDIOBOOK,2018,1,9,Two Years Eight Months and Twenty-Eight Nights: A Novel (unabridged) (Unabridged),,Salman Rushdie,"Fantasy, Fiction, Literature, Mythology",Books on Tape,2015
323,Digital,OverDrive,EBOOK,2018,1,1,Mathematical Footprints: Discovering Mathematics Everywhere,,Theoni Pappas,"Essays, Mathematics, Nonfiction, Science",Lightning Source Inc,2012
